city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Orumiyeh,Iran,860169,37.548341,45.0667111,5.7,2.9,97.0,9.6,17.9,12.6,66.0
Nellore,India,858853,14.4493717,79.9873763,28.0,9.9,46.0,41.6,45.1,1.3,177.0
Quebec,Canada,858207,46.8137431,-71.2084061,-8.8,24.4,251.0,1.2,1.6,1.1,77.0
Winnipeg,Canada,857367,49.8955367,-97.1384584,-14.1,18.5,327.0,2.0,2.4,2.3,59.0
Bikaner,India,853869,28.0159286,73.3171367,26.5,4.3,318.0,8.2,8.3,0.4,125.0
Heze,China,851474,35.2477266,115.4464761,-0.6,13.7,14.0,25.1,26.9,28.6,28.0
Zhumadian,China,851392,33.0115818,114.0164565,0.1,19.8,3.0,25.3,26.5,31.1,26.0
Palermo,Italy,851282,38.1112268,13.3524434,13.9,2.9,240.0,11.0,13.2,30.7,43.0
Huludao,China,851156,40.7515443,120.8404789,-6.3,1.8,90.0,10.6,11.6,20.3,44.0
Taixing,China,848379,32.1684583,120.0165362,9.8,18.0,74.0,12.5,14.8,21.7,59.0
Haicheng,China,848129,40.8522995,122.7477959,-7.5,6.6,29.0,37.4,38.8,46.6,18.0
Anqiu,China,847608,36.4794705,119.2129818,1.1,10.1,4.0,20.1,22.4,21.0,44.0
Ibb,Yemen,847350,13.9701578,44.1779446,21.5,9.9,314.0,23.6,134.6,0.1,87.0
Gebze,Turkey,846841,40.8006696,29.431767,9.6,3.1,135.0,58.3,67.8,30.1,13.0
Sulaimaniya,Iraq,846517,35.5570501,45.4425963,9.1,2.9,180.0,7.4,12.7,5.1,77.0
Langfang,China,846438,39.5302055,116.6926134,-3.2,8.1,103.0,29.7,31.8,47.9,17.0
Liaocheng,China,845854,36.4441808,115.9642007,-1.0,10.5,38.0,22.9,25.1,25.1,33.0
Gaomi,China,841911,36.3654065,119.8005385,2.0,11.5,4.0,16.9,18.6,19.1,47.0
Valencia,Spain,841354,39.4697065,-0.3763353,9.0,4.3,294.0,19.9,30.4,38.2,7.0
Hanchuan,China,839309,30.6562575,113.8329583,8.3,23.0,360.0,30.5,31.2,18.5,49.0
Dasmarinas,Philippines,839131,14.3270819,120.9370871,28.5,18.4,91.0,9.2,10.9,8.3,78.0
Kayamkulam,India,838870,9.1723603,76.500061,27.9,13.7,267.0,46.4,48.5,2.1,190.0
Meishan,China,837335,30.079061,103.8458201,15.1,13.8,47.0,46.2,46.9,35.0,44.0
Saratov,Russia,837323,51.530018,46.034683,0.6,10.1,207.0,2.5,2.6,5.7,38.0
Muzaffarnagar,India,836997,29.4662369,77.6961699,21.1,3.1,234.0,81.0,82.4,2.8,213.0
Xalapa,Mexico,834581,19.5408338,-96.9146374,12.8,4.0,185.0,5.7,6.3,8.5,42.0
Newcastle upon Tyne,United Kingdom,834242,54.9738474,-1.6131572,9.1,10.8,206.0,5.2,6.9,11.8,42.0
Ar-Rayyan,Qatar,831689,25.296619,51.434626,27.1,10.5,202.0,20.3,45.6,13.0,85.0
Danyang,China,829276,32.0109736,119.6012702,10.6,16.0,76.0,13.3,15.6,21.0,59.0
Sorocaba,Brazil,829049,-23.5003451,-47.4582864,18.6,2.2,99.0,48.5,49.6,36.0,19.0
Merca,Somalia,828008,1.7148358,44.7699326,32.0,18.1,73.0,11.0,14.8,0.1,69.0
Bucheon,South Korea,827603,37.5014422,126.7660139,3.2,5.8,30.0,27.5,28.8,58.8,13.0
Amravati,India,824965,20.9316219,77.7588455,28.6,3.1,111.0,12.8,12.8,5.4,143.0
Kitwe,Zambia,823625,-12.8203689,28.2155973,18.4,6.5,357.0,3.8,3.8,0.5,52.0
Oshogbo,Nigeria,822497,7.7791666,4.5538891,26.0,4.7,176.0,27.6,57.0,3.1,93.0
Nakhon Ratchasima,Thailand,821187,14.9747339,102.0981161,27.8,7.4,47.0,7.1,7.4,0.8,95.0
Jiaozuo,China,820064,35.2156785,113.2356748,-2.0,6.3,193.0,29.7,32.0,28.7,37.0
Goma,DR Congo,819854,-1.6665685,29.225652,25.4,1.5,166.0,15.2,15.6,0.7,83.0
Nottingham,United Kingdom,819334,52.9534193,-1.1496461,9.6,7.6,135.0,5.8,8.6,11.7,42.0
Bologna,Italy,819297,44.4938203,11.3426327,8.1,4.7,279.0,29.0,34.0,27.0,16.0
Gorakhpur,India,816586,26.7600217,83.3668129,23.4,4.1,142.0,62.2,66.8,0.1,192.0
San Francisco,United States,815701,37.7879363,-122.4075201,8.2,19.2,17.0,39.5,39.8,49.7,0.0
Thessaloniki,Greece,815472,40.6403167,22.9352716,10.1,2.7,293.0,38.6,40.8,22.3,32.0
Linhai,China,813794,28.8616886,121.1402223,14.4,9.5,61.0,10.9,13.7,7.4,87.0
Yan'an,China,813599,36.602796,109.4873978,-1.7,24.3,331.0,8.1,21.2,1.4,67.0
Vereeniging,South Africa,812913,-26.6747222,27.9261111,22.5,20.3,335.0,15.4,15.5,5.6,122.0
Anqing,China,811560,30.5276161,117.0515956,12.2,18.6,22.0,31.5,32.7,23.5,50.0
Zaria,Nigeria,809652,11.1134917,7.7188449,24.4,15.5,91.0,162.5,1028.2,4.3,77.0
Shaoguan,China,805079,24.8136095,113.5922116,17.1,3.1,21.0,48.0,48.1,26.0,83.0
Cuttack,India,804914,20.4686,85.8792,27.4,6.3,336.0,57.9,61.7,0.6,200.0
Dengzhou,China,804189,32.6880537,112.0818901,1.2,8.9,50.0,14.8,15.2,26.6,27.0
Frankfurt,Germany,803758,50.1106444,8.6820917,6.9,0.5,135.0,16.9,19.1,36.1,9.0
Akure,Nigeria,803062,7.2525595,5.1932647,25.9,3.9,158.0,19.3,43.7,2.3,79.0
Belgaum,India,799729,15.8572666,74.5069343,28.0,13.7,87.0,12.4,14.5,1.6,162.0
